"","...1","iso_code","region_group","income_group","country","survey","year","level","grade","category","sex","location","wealth","region","ethnicity","religion","language","disability","hh_edu_head","comp_prim_v2_m","comp_lowsec_v2_m","comp_upsec_v2_m","comp_prim_1524_m","comp_lowsec_1524_m","comp_upsec_2029_m","eduyears_2024_m","edu2_2024_m","edu4_2024_m","eduout_prim_m","eduout_lowsec_m","eduout_upsec_m","comp_prim_v2_no","comp_lowsec_v2_no","comp_upsec_v2_no","comp_prim_1524_no","comp_lowsec_1524_no","comp_upsec_2029_no","eduyears_2024_no","edu2_2024_no","edu4_2024_no","eduout_prim_no","eduout_lowsec_no","eduout_upsec_no","preschool_3_m","preschool_3_no","preschool_1ybefore_m","preschool_1ybefore_no","edu0_prim_m","edu0_prim_no","trans_prim_m","trans_prim_no","trans_lowsec_m","trans_lowsec_no","comp_higher_2yrs_2529_m","comp_higher_2yrs_2529_no","comp_higher_4yrs_2529_m","comp_higher_4yrs_2529_no","comp_higher_4yrs_3034_m","comp_higher_4yrs_3034_no","attend_higher_1822_m","attend_higher_1822_no","overage2plus_m","overage2plus_no","literacy_1524_m","literacy_1524_no","mlevel1_m","mlevel1_no","rlevel1_m","rlevel1_no","slevel1_m","slevel1_no","mlevel2_m","mlevel2_no","rlevel2_m","rlevel2_no","slevel2_m","slevel2_no","mlevel3_m","mlevel3_no","rlevel3_m","rlevel3_no","slevel3_m","slevel3_no","mlevel4_m","mlevel4_no","rlevel4_m","rlevel4_no","slevel4_m","slevel4_no"
"11",1514,"ALB","Europe and Northern America","Upper middle income","Albania","MICS",2005,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9881,0.9804,0.4635,NA,NA,NA,NA,0,0.0021,NA,NA,NA,NA,NA,NA,NA,NA,NA,731,731,731,NA,NA,NA,0.4237,223,0.4066,143,0.0084,915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0816,814,0.0371,668,0.9949,3305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1515,"ALB","Europe and Northern America","Upper middle income","Albania","MICS",2005,NA,1,"Sex","Male",NA,NA,NA,NA,NA,NA,NA,NA,0.9901,0.9621,0.4757,NA,NA,NA,NA,0,9e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,696,696,696,NA,NA,NA,0.3896,282,0.34,163,0.0079,1006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1148,806,0.0592,758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1626,"ARM","Northern Africa and Western Asia","Upper middle income","Armenia","DHS",2000,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9943,0.9896,0.8948,0.999,0.9873,0.9268,NA,0.0022,0.0022,0.0256,0.0089,0.1141,799,785,720,2464,2464,1972,1123,1123,1123,692,1262,556,NA,NA,NA,NA,9e-04,1260,1,1297,0.8978,875,0.3419,517,0.3179,517,0.3725,467,0.2127,1163,0.0026,678,1,6247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1627,"ARM","Northern Africa and Western Asia","Upper middle income","Armenia","DHS",2000,NA,1,"Sex","Male",NA,NA,NA,NA,NA,NA,NA,NA,0.9868,0.9799,0.8022,0.9952,0.9701,0.8376,NA,0.0016,0.0039,0.0382,0.0243,0.2071,826,731,684,2289,2289,1866,1046,1046,1046,713,1345,512,NA,NA,NA,NA,0.001,1287,0.9995,1263,0.7884,993,0.3228,553,0.2903,553,0.3234,433,0.1583,1132,0.013,728,1,1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1703,"ARM","Northern Africa and Western Asia","Upper middle income","Armenia","DHS",2016,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9911,0.9915,0.7372,0.9985,0.9593,0.6545,NA,0.002,0.002,0.0626,0.0085,0.0589,461,451,531,1717,1717,2062,951,951,951,683,800,479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1704,"ARM","Northern Africa and Western Asia","Upper middle income","Armenia","DHS",2016,NA,1,"Sex","Male",NA,NA,NA,NA,NA,NA,NA,NA,0.9939,0.9466,0.5546,0.9964,0.9056,0.4618,NA,0.002,0.0029,0.0654,0.0068,0.129,578,398,509,1685,1685,2051,960,960,960,769,956,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1878,"AUS","Oceania","High income","Australia","SIH",2010,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9976,0.9953,0.8875,NA,0.9697,0.8738,NA,NA,NA,NA,NA,0.0716,NA,689,680,NA,2388,2441,NA,NA,NA,NA,NA,776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1879,"AUS","Oceania","High income","Australia","SIH",2010,NA,1,"Sex","Male",NA,NA,NA,NA,NA,NA,NA,NA,0.9941,0.9882,0.8147,NA,0.9717,0.837,NA,NA,NA,NA,NA,0.0855,NA,762,664,NA,2414,2248,NA,NA,NA,NA,NA,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1945,"AZE","Northern Africa and Western Asia","Upper middle income","Azerbaijan","DHS",2006,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9671,0.8971,0.7134,0.9729,0.8844,0.6601,NA,0.0137,0.0279,0.0554,0.0465,0.157,1014,949,868,2945,2945,2449,1353,1353,1353,937,1648,640,NA,NA,NA,NA,0.0155,1424,0.9974,1525,0.8462,1098,0.1806,897,0.1793,897,0.137,873,0.152,1360,0.0521,921,1,5843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1946,"AZE","Northern Africa and Western Asia","Upper middle income","Azerbaijan","DHS",2006,NA,1,"Sex","Male",NA,NA,NA,NA,NA,NA,NA,NA,0.9902,0.9451,0.7895,0.986,0.9239,0.6974,NA,0.0073,0.0123,0.0568,0.0197,0.1122,1100,638,779,2531,2531,2261,1208,1208,1208,1067,1793,684,NA,NA,NA,NA,0.0059,1584,0.9968,1692,0.9164,1002,0.2691,961,0.2545,961,0.2025,761,0.1788,1137,0.0365,1069,1,1850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2146,"AZE","Northern Africa and Western Asia","Upper middle income","Azerbaijan","MICS",2000,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9691,0.8623,0.6212,NA,NA,NA,NA,0.001,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,990,990,990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2147,"AZE","Northern Africa and Western Asia","Upper middle income","Azerbaijan","MICS",2000,NA,1,"Sex","Male",NA,NA,NA,NA,NA,NA,NA,NA,0.9722,0.8942,0.6667,NA,NA,NA,NA,0,0.0032,NA,NA,NA,NA,NA,NA,NA,NA,NA,942,942,942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2242,"BDI","Sub-Saharan Africa","Low income","Burundi","DHS",2010,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.3841,0.0836,0.0368,0.3431,0.0641,0.0362,NA,0.446,0.5496,0.1585,0.2856,0.706,1673,1329,1103,4532,4532,3520,1867,1867,1867,3440,2151,1609,NA,NA,NA,NA,0.101,2767,0.5593,726,0.6873,218,0.0161,1621,0.0074,1621,0.0078,1091,0.0045,2331,0.7087,4655,0.6651,4644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2243,"BDI","Sub-Saharan Africa","Low income","Burundi","DHS",2010,NA,1,"Sex","Male",NA,NA,NA,NA,NA,NA,NA,NA,0.4145,0.1616,0.0671,0.4513,0.11,0.0636,NA,0.3093,0.4036,0.1484,0.2181,0.5045,1485,1187,959,3950,3950,3043,1625,1625,1625,3171,1978,1406,NA,NA,NA,NA,0.0966,2569,0.6269,693,0.6633,295,0.0212,1337,0.0099,1337,0.0337,1010,0.0061,2046,0.7328,4443,0.8266,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2379,"BDI","Sub-Saharan Africa","Low income","Burundi","DHS",2017,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.5791,0.2322,0.1136,NA,NA,NA,NA,NA,NA,0.1789,0.2824,0.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2380,"BDI","Sub-Saharan Africa","Low income","Burundi","DHS",2017,NA,1,"Sex","Male",NA,NA,NA,NA,NA,NA,NA,NA,0.4865,0.2902,0.1352,NA,NA,NA,NA,NA,NA,0.1806,0.3059,0.5264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2426,"BDI","Sub-Saharan Africa","Low income","Burundi","MICS",2000,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.1384,0.046,0.0254,NA,NA,NA,NA,0.3207,0.3966,0.518,0.6627,0.8101,NA,NA,NA,NA,NA,NA,580,580,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2427,"BDI","Sub-Saharan Africa","Low income","Burundi","MICS",2000,NA,1,"Sex","Male",NA,NA,NA,NA,NA,NA,NA,NA,0.1203,0.0761,0.0342,NA,NA,NA,NA,0.2137,0.2863,0.4452,0.5747,0.7608,NA,NA,NA,NA,NA,NA,496,496,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2527,"BDI","Sub-Saharan Africa","Low income","Burundi","MICS",2005,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.1165,0.0333,0.0173,NA,NA,NA,NA,0.3935,0.5367,NA,NA,NA,NA,NA,NA,NA,NA,NA,1484,1484,1484,NA,NA,NA,NA,NA,NA,NA,0.3344,2794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0021,1554,0.5501,4273,0.5283,3918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2528,"BDI","Sub-Saharan Africa","Low income","Burundi","MICS",2005,NA,1,"Sex","Male",NA,NA,NA,NA,NA,NA,NA,NA,0.1484,0.0559,0.0263,NA,NA,NA,NA,0.2523,0.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,1118,1118,1118,NA,NA,NA,NA,NA,NA,NA,0.3068,2734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0017,1260,0.5708,4530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2689,"BEN","Sub-Saharan Africa","Lower middle income","Benin","DHS",2001,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.2636,0.0631,0.0203,0.1802,0.0527,0.015,NA,0.6882,0.7641,0.4907,0.6152,0.7832,796,838,741,2924,2924,2681,1422,1422,1422,2795,1239,801,NA,NA,NA,NA,0.4466,2197,0.8809,203,0.6345,55,0.011,953,0.004,953,0.0032,685,0.0048,1098,0.5302,1872,0.3185,1874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2690,"BEN","Sub-Saharan Africa","Lower middle income","Benin","DHS",2001,NA,1,"Sex","Male",NA,NA,NA,NA,NA,NA,NA,NA,0.3994,0.1733,0.0685,0.391,0.1364,0.0582,NA,0.4111,0.5293,0.3271,0.3693,0.5818,740,639,539,2314,2314,2003,1016,1016,1016,3047,1347,751,NA,NA,NA,NA,0.2756,2444,0.878,385,0.7525,147,0.0398,879,0.0153,879,0.0244,721,0.0119,1104,0.6068,2819,0.6108,856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2835,"BEN","Sub-Saharan Africa","Lower middle income","Benin","DHS",2006,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.4198,0.1201,0.0566,0.2598,0.0986,0.031,NA,0.6596,0.7371,0.3758,0.4417,0.6689,2122,2032,1990,7749,7749,7785,3867,3867,3867,8194,3583,2071,NA,NA,NA,NA,0.3309,6601,0.9176,901,0.7648,297,0.0112,3131,0.005,3131,0.0029,2279,0.0151,2907,0.4532,6805,0.3953,5154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2836,"BEN","Sub-Saharan Africa","Lower middle income","Benin","DHS",2006,NA,1,"Sex","Male",NA,NA,NA,NA,NA,NA,NA,NA,0.5513,0.3228,0.1443,0.5185,0.2372,0.0995,NA,0.3555,0.4396,0.2793,0.2968,0.4201,2672,1738,1365,6497,6497,5391,2649,2649,2649,9007,4151,2176,NA,NA,NA,NA,0.227,7299,0.916,1730,0.7373,729,0.0519,2408,0.0185,2408,0.0219,2219,0.026,2970,0.4777,8567,0.7207,1701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",3161,"BEN","Sub-Saharan Africa","Lower middle income","Benin","MICS",2014,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.4867,0.1884,0.0664,0.4213,0.1542,0.0497,NA,0.0363,0.1971,0.2729,0.3567,0.5812,2083,1764,1752,6215,6215,5758,1788,1788,1788,6669,3078,1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",3162,"BEN","Sub-Saharan Africa","Lower middle income","Benin","MICS",2014,NA,1,"Sex","Male",NA,NA,NA,NA,NA,NA,NA,NA,0.5873,0.3722,0.1454,0.644,0.2944,0.1547,NA,0.0182,0.1012,0.232,0.277,0.3706,2371,1629,1422,5659,5659,4503,1939,1939,1939,7007,3494,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",3470,"BFA","Sub-Saharan Africa","Low income","Burkina Faso","DHS",2003,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.2255,0.0676,0.0356,0.1971,0.0653,0.0254,NA,0.7537,0.7837,0.697,0.8113,0.9031,1812,1573,1425,5354,5354,4475,2354,2354,2354,5358,2580,1769,NA,NA,NA,NA,0.6592,4301,0.7202,530,0.534,161,0.0066,2016,0.0035,2016,1e-04,1527,0.0061,2473,0.279,2159,0.2152,4901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",3471,"BFA","Sub-Saharan Africa","Low income","Burkina Faso","DHS",2003,NA,1,"Sex","Male",NA,NA,NA,NA,NA,NA,NA,NA,0.2881,0.1231,0.0637,0.2831,0.0994,0.0618,NA,0.6239,0.6659,0.632,0.7746,0.867,1989,1420,1122,5040,5040,3463,1923,1923,1923,5600,2999,1715,NA,NA,NA,NA,0.5791,4488,0.7199,675,0.5885,260,0.0238,1514,0.0123,1514,0.0298,1193,0.0085,2263,0.3184,2790,0.3915,1511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",3820,"BFA","Sub-Saharan Africa","Low income","Burkina Faso","DHS",2010,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.2952,0.056,0.023,0.2193,0.0545,0.0211,NA,0.704,0.7479,0.4997,0.5847,0.8142,2174,2048,1942,6872,6872,6448,3327,3327,3327,7602,3626,2019,NA,NA,NA,NA,0.4565,5921,0.8461,673,0.7,181,0.0092,2907,0.0038,2907,0.0052,2218,0.0088,3123,0.288,4961,0.2724,6482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",3821,"BFA","Sub-Saharan Africa","Low income","Burkina Faso","DHS",2010,NA,1,"Sex","Male",NA,NA,NA,NA,NA,NA,NA,NA,0.3213,0.1337,0.0618,0.3386,0.1113,0.0573,NA,0.5226,0.5836,0.4635,0.5548,0.6989,2458,1650,1342,5670,5670,4517,2315,2315,2315,7990,3735,1962,NA,NA,NA,NA,0.4122,5914,0.857,953,0.7533,321,0.0306,2128,0.0138,2128,0.0163,1867,0.0287,2485,0.2979,5443,0.4704,2542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
